level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2558	827	-1	
2	1	1	0	0	0	51	0	2485	665	-1	
3	1	1	1	0	0	51	0	2485	665	-1	
4	1	1	1	1	0	99	0	2436	32	-1	
5	1	1	1	1	1	99	8	3	3	0.000000	:
5	1	1	1	1	2	327	0	78	24	39.922997	3.1.4
5	1	1	1	1	3	428	0	90	31	89.411255	rougn
5	1	1	1	1	4	528	0	74	32	92.548958	pari,
5	1	1	1	1	5	620	0	103	23	20.841202	n—the
5	1	1	1	1	6	736	0	63	31	92.740509	part
5	1	1	1	1	7	811	3	79	29	95.027153	prior
5	1	1	1	1	8	903	0	30	23	90.456795	to
5	1	1	1	1	9	948	0	69	23	58.279800	final
5	1	1	1	1	10	1031	0	174	31	80.151245	machining.
5	1	1	1	1	11	1361	0	237	24	0.000000	hcseaeaanarataeater
5	1	1	1	1	12	1582	0	18	36	29.532684	A
5	1	1	1	1	13	2533	12	2	2	60.248100	:
4	1	1	1	2	0	289	76	2246	40	-1	
5	1	1	1	2	1	289	80	28	28	92.977821	4.
5	1	1	1	2	2	339	79	157	37	95.997841	Ordering
5	1	1	1	2	3	510	80	205	29	96.574699	Information
5	1	1	1	2	4	1360	78	28	29	96.402397	6.
5	1	1	1	2	5	1410	78	158	30	95.675446	Chemical
5	1	1	1	2	6	1583	78	214	37	95.675446	Composition
4	1	1	1	3	0	326	140	2019	39	-1	
5	1	1	1	3	1	326	142	46	28	95.997971	4.1
5	1	1	1	3	2	396	142	24	28	79.078941	It
5	1	1	1	3	3	432	142	25	28	79.078941	is
5	1	1	1	3	4	470	141	47	29	96.954994	the
5	1	1	1	3	5	529	141	215	38	96.845619	responsibility
5	1	1	1	3	6	757	141	35	29	96.617371	of
5	1	1	1	3	7	802	141	48	29	96.792671	the
5	1	1	1	3	8	862	141	155	37	96.733162	purchaser
5	1	1	1	3	9	1029	146	29	24	96.845543	to
5	1	1	1	3	10	1072	141	113	38	96.559509	specify
5	1	1	1	3	11	1197	141	30	29	96.616364	in
5	1	1	1	3	12	1239	141	49	29	96.616364	the
5	1	1	1	3	13	1398	140	45	30	96.351143	6.1
5	1	1	1	3	14	1466	141	61	28	96.351143	The
5	1	1	1	3	15	1539	141	79	33	96.933922	steel,
5	1	1	1	3	16	1630	141	69	28	96.933922	both
5	1	1	1	3	17	1710	149	31	20	96.957893	as
5	1	1	1	3	18	1753	149	17	20	95.490959	a
5	1	1	1	3	19	1779	140	88	29	95.490959	blend
5	1	1	1	3	20	1878	140	56	29	96.468513	and
5	1	1	1	3	21	1945	149	30	20	96.213799	as
5	1	1	1	3	22	1987	149	17	20	96.757217	a
5	1	1	1	3	23	2013	145	71	32	96.757217	part,
5	1	1	1	3	24	2096	140	70	29	96.985039	shall
5	1	1	1	3	25	2177	140	130	29	95.814034	conform
5	1	1	1	3	26	2316	144	29	25	95.814034	to
4	1	1	1	4	0	288	185	2247	39	-1	
5	1	1	1	4	1	288	187	142	37	96.169762	purchase
5	1	1	1	4	2	442	188	82	28	96.396698	order
5	1	1	1	4	3	536	188	38	28	96.448044	all
5	1	1	1	4	4	586	187	205	37	96.599579	requirements
