0.48c,,0.40,,0.40,,0.43,0.43,,,,0.24,
Manganese 0.75-,0.04,0.70-,,0.03 0.70-,0.03,0.75- 0.04,0.60-,0.03,,0.70-,0.04,
1.00,,0.90,,0.90,,1.00,0.85,,,,1.40,
Phosphorus, 0.035,0.005,0.035,,0.005 0.035,0.005,0.035 0.005,0.035,0.005,,0.035,0.005,
max,over,,,over,over,over,,over,,,over,
Sulfur, max 0.040,0.005,0.040,,0.005 0.040,0.005,0.040 0.005,0.040,0.005,,0.050,0.005,
,over,,,over,over,over,,over,,,over,
Silicon 0.15-,0.02,0.15-,,0.02 0.15-,0.02,0.15- 0.02,0.15-,0.02,,0.15-,0.02,
0.35,,0.35,,0.35,,0.35,0.35,,,,0.30,
Nickel,,,,,,0.40- 0.03,1.65-,0.05,,,,
,,,,,,0.70,2.00,,,,,
Chromium 0.80-,0.05,,,0.80-,0.05,0.40- 0.03,0.70-,0.03,,,,
1.10,,,,1.10,,0.60,0.90,,,,,
Molybdenum 0.15-,0.02,0.20-,,0.02 0.15-,0.02,0.20- 0.02,0.20-,0.02,,,,
0.25,,0.30,,0.25,,0.30,0.30,,,,,
Boron,,,,,,,,,,0.001-,,
,,,,,,,,,,,0.003,
Type ................. .,,,,,,Austenitic Steels, Classes 1, 1A,, and 2°,,,,,
Grade Symbol ...... .,,,,,88, BSA,,,,,BBC, 88CA,,
UNS Designation .......... .,,,,,S 30400(304),,,,,S 34700(347),,
,,,,,,Product Variation, %,,,,,Product Variation, %,
,,,,Range,%,,,Range,%,,,,,
,,,,,,Over or Under,,,,,Over or Under,
Carbon, max,,,,0.08,,0.01 over,0.08,,,0.01,over,
Manganese, max,,,,2.00,,0.04 over,2.00,,,0.04 over,,
Phosphorus, max,,,,0.045,,0.010 over,0.045,,,0.010 over,,
Sulfur, max,,,,0.030,,0.005 over,0.030,,,0.005 over,,
Silicon, max,,,,1.00,,0.05 over,1.00,,,0.05 over,,
Nickel,,,,8.0-11.0,,0.15,9.0-12.0,,,0.15,,
Chromium,,,,18.0-20.0,,0.20,17.0-19.0,,,0.20,,
Niobium8 + Tantalum,,,,,,,10 x carbon,,,0.05 under,,
,,,,,,,content, min. -1.1 o,,,,,
,,,,,,,max,,,,,
Type ........,,,,,Austenitic Steels, Classes 1,  1A,,, and 2°,,,,,
Grade Symbol ......,BBT, BBTA,,,BBP, BBPA,,BBF, BBFA,,,,,BBM, BBMA,
UNS Designation ....,S 32100(321),,,S 30500,,S 30300(303),S 30323(303Se),,,,S 31600(316),
,,Product,,Product,,Product,,Product,,,Product,
,,Variation, %,,Variation, %,,Variation,%,,Variation, %,,,Variation,,
Range,%,,,,Range,%,,Range,%,Range,%,,,,Range,%,
,,Over or,,Over or,,Over or,,Over or,,,Over or,
,,Under,,,Under,Under,,Under,,,Under,
Carbon, max 0.08,,0.01 over,,0.12 0.01,over,0.15 0.01 over,0.15,0.01,over,,0.08 0.01,over
Manganese, max 2.00,,0.04 over,,2.00 0.04 over,,2.00 0.04 over,2.00,0.04 over,,,2.00 0.04 over,
Phosphorus, max 0.045,,0.010 over,,0.045 0.010 over,,0.20 0.010 over,0.20,0.010 over,,,0.045 0.010 over,
Sulfur 0.030, max,,0.005 over,,0.030, max 0.005 over,,0.15, min 0.020,0.06, max,0.010 over,,,0.030, max 0.005 over,
Silicon, max 1.00,,0.05 over,,1.00 0.05 over,,1.00 0.05 over,1.00,0.05 over,,,1.00 0.05 over,
9.0-,,,,11-,,8.0-,8.0-,,,,10.0-,
Nickel,,0.15,,0.15,,0.10,,0.10,,,0.15,
,12.0,,,13.0,,10.0,10.0,,,,14.0,
17.0-,,,,17.0-,,17.0-,17.0-,,,,16.0-,
Chromium,,0.20,,0.20,,0.20,,0.20,,,0.20,
,19.0,,,19.0,,19.0,19.0,,,,18.0,
,,,,,,,,,,,2.00-,
Molybdenum,,,,,,,,,,,0.10,
,,,,,,,,,,,3.00,
,,,,,,,0.15-,,,,,
Selenium,,,,,,,,0.03 under,,,,
