tion8,,,,,,,,,,,
,,Carbon,Manganese,Phos-,Sulfur,Silicon Chromium,,Nickel,Molyb­,Nitrogen,Other ElementsL
,,,,phorus,,,,,denum,,
,,,,,,Austenitic Grades,,,,,
N08020,Alloy 20,0.07,2.00,0.045,0.035,1.00 19.0-21.0,,32.0-38.0,2.00-3.00,...,Cu 3.0-4.0
,,,,,,,,,,,Nb 8 x C min.;
,,,,,,,,,,,1.00 max
S20200,202,0.15,7.5-10.0,0.060,0.030,1.00 17.0-19.0,,4.0-6.0,...,0.25,. ..
S20500,205,0.12-0.25,14.0-15.5,0.060,0.030,1.00 16.5-18.0,,1.0-1.7,. ..,0.32-0.40,...
S20910,XM-19,0.06,4.0-6.0,0.045,0.030,1.00 20.5-23.5,,11.5-13.5,1.50-3.00,0.20-0.40,Cb 0.10-0.30,
,,,,,,,,,,,V 0.10-0.30
S21800,. . .,0.10,7.0-9.0,0.060,0.030,3.5-4.5 16.0-18.0,,8.0-9.0,. ..,0.08-0.18,...
S21900,XM-10,0.08,8.0-10.0,0.045,0.030,1.00 19.0-21.5,,5.5-7.5,...,0.15-0.40,. ..
S21904,XM-11,0.04,8.0-10.0,0.045,0.030,1.00 19.0-21.5,,5.5-7.5,...,0.15-0.40,. ..
S24000,XM-29,0.08,11.5-14.5,0.060,0.030,1.00 17.0-19.0,,2.3-3.7,...,0.20-0.40,. ..
S24100,XM-28,0.15,11.0-14.0,0.045,0.030,1.00 16.5-19.0,,0.50-2.50,...,0.20-0.45,. ..
S28200,. . .,0.15,17.0-19.0,0.045,0.030,1.00 17.0-19.0,,...,0.75-1.25,0.40-0.60,Cu 0.75-1.25
S30200,302,0.15,2.00,0.045,0.030,1.00 17.0-19.0,,8.0-10.0,' ..,0.10,...
S30215,302B,0.15,2.00,0.045,0.030,2.00-3.00 17.0-19.0,,8.0-10.0,...,0.10,. ..
S30400,304,0.08,2.00,0.045,0.030,1.00 18.0-20.0,,8.0-11.0,. ..,. ..,...
S30403,304L0,0.030,2.00,0.045,0.030,1.00 18.0-20.0,,8.0-12.0,. . .,...,. ..
S30451,304N,0.08,2.00,0.045,0.030,1.00 18.0-20.0,,8.0-11.0,. . .,0.10-0.16,...
S30452,XM-21,0.08,2.00,0.045,0.030,1.00 18.0-20.0,,8.0-10.0,...,0.16-0.30,. ..
S30453,304LN,0.030,2.00,0.045,0.030,1.00 18.0-20.0,,8.0-11.0,...,0.10-0.16,. ..
S30454,. . .,0.03,2.00,0.045,0.030,1.00 18.0-20.0,,8.0-11.0,...,0.16-0.30,. ..
S30500,305,0.12,2.00,0.045,0.030,1.00 17.0-19.0,,11.0-13.0,...,,. ..,. ..
S30800,308,0.08,2.00,0.045,0.030,1.00 19.0-21.0,,10.0-12.0,...,. . .,. ..
S30815,. . .,0.05-0.10,0.80,0.040,0.030,1.40-2.00 20.0-22.0,,10.0-12.0,...,0.14-0,20,Ce 0.03-0.08
S30900,309,0.20,2.00,0.045,0.030,1.00 22.0-24.0,,12.0-15.0,. . .,. . .,...
S30908,309S,0.08,2.00,0.045,0.030,1.00 22.0-24.0,,12.0-15.0,. . .,. . .,...
S30940,309Cb,0.08,2.00,0.045,0.030,1.00 22.0-24.0,,12.0-16.0,...,. ..,Cb 10xC-1.10
S31000,310,0.25,2.00,0.045,0.030,1.50 24.0-26.0,,19.0-22.0,...,. . .,. ..
S31008,310S,0.08,2.00,0.045,0.030,1.50 24.0-26.0,,19.0-22.0,...,. . .,. ..
S31010°,...,0.030,5.50-6.50,0.030,0.0010,0.25-0.75 28.5-30.5,,14.0-16.0,1.5-2.5,0.80-0.90,Al 0.05
,,,,,,,,,,,B 0.005
S31040,310Cb,0.08,2.00,0.045,0.030,1.50 24.0-26.0,,19.0-22.0,. . .,...,Cb 10xC-1.10
S31254,...,0.020,1.00,0.030,0.010,0.80 19.5-20.5,,17.5-18.5,6.0-6.5,0.18-0.25,Cu 0.50-1.00
S31266,...,0.030,2.00-4.00,0.035,0.020,1.00 23.0-25.0,,21.0-24.0,5.2-6.2,0.35-0.60,Cu 1. 00-2.50
,,,,,,,,,,,W 1.50-2.50
S31400,314,0.25,2.00,0.045,0.030,1.50-3.00 23.0-26.0,,19.0-22.0,. ..,. ..,...
S31600,316,0.08,2.00,0.045,0.030,1.00 16.0-18.0,,10.0-14.0,2.00-3.00,. . .,...
S31603,316L0,0.030,2.00,0.045,0.030,1.00 16.0-18.0,,10.0-14.0,2.00-3.00,. . .,...
S31635,316Ti,0.08,2.00,0.045,0.030,1.00 16.0-18.0,,10.0-14.0,2.00-3.00,0.10,Ti 5x(C+N)-0.70
S31640,316Cb,0.08,2.00,0.045,0.030,1.00 16.0-18.0,,10.0-14.0,2.00-3.00,0.10,Cb 10xC-1.10
