S41000 Class 2,85 [585],55 [380],18.0,35.0,167-229
S41000 Class 3,110 [760],85 [585],15.0,35.0,235-302
S41000 Class 4,130 [895],110 [760],12.0,35.0,263-321
S41026,110-135 [760-930],90 [620],16.0,45.0,235-285
S41500,115 [790],90 [620],15.0,45.0,295 max
S42390,100-125 [690-862],75 [517],14.0,,
,,Austenitic Stainless Steels,,,
N08028,73 [500],31 [214],40.0,50.0,
N08029,73 [500],31 [214],40.0,50.0,
S30400,75 [515]8,30 [205],30.0,50.0,
S30403,70 [485] 0,25 [170],30.0,50.0,
S30451,80 [550],35 [240],30.0,50.0,
S30453,75 [515]8,30 [205],30.0,50.0,
S31600,75 [515]8,30 [205],30.0,50.0,
S31603,70 [485]°,25 [170],30.0,50.0,
S31651,80 [550],35 [240],30.0,50.0,
S31653,75 [515] 8,30 [205],30.0,50.0,
S31700,75 [515]8,30 [205],30.0,50.0,
S31703,70 [485] 0,25 [170],30.0,50.0,
S21904,90 [620],50 [345],45.0,60.0,
S31254,94 [650],44 [300],35.0,50.0,
S31725,75 [525],30 [205],40.0,50.0,
S31726,80 [550],35 [240],40.0,50.0,
N08367,95 [655],45 [310],30.0,50.0,
S32654,109 [750],62 [430],40.0,,250 max
,,Age-Hardening Stainless Steels,,,
UNS Designation,,,,,,
condition,,,,,
S17400, A,,,,,363 max
S17400, H900,190 [1310],170 [1170],6.0,15.0,388 min
S17400, H925,170 [1170],155 [1070],7.0,20.0,375 min
S17400, H1025,155 [1070],145 [1000],8.0,27.0,331 min
S17400, H1075,145 [1000],125 [860],9.0,28.0,311 min
S17400, H1100,140 [965],115 [795],10.0,29.0,302 min
S17400, H1150,135 [930],105 [725],11.0,30.0,277 min
S17400, H1150M,115 [795],75 [520],14.0,35.0,255 min
,,Austenitic-Ferritic Stainless Steels,,,
S31803,90 [620],65 [450],25.0,45.0,
S32205,95 [655],65 [450],25.0,,293 max
S32906,109 [750],80 [550],25.0,,310 max
S32950,100 [690],70 [485],15.0,,
S32750,116 [800],80 [550],15.0,,310 max
S39274,116 [800],80 [550],15.0,30.0,310 max
S32760,109-130 [750-895],80 [550],25.0,45.0,
S39277,118 [820],85 [585],25.0,50.0,
S32505,116 [800],80 [550],25.0,50.0,310 max
