energy absorption value of 40 ft·lbf [54 J],,,,,average of three,,,consumables used to fabricate F91 Type 1 and Type 2 forgings,,,,,
specimens. One,specimen,only,in,one set,may,be below,,shall not exceed 1.0 %.,,,,,
40 ft-lbf [54 J] and it shall meet a minimum value of 35 ft·lbf,,,,,,,,11.3 All repair welds in F92 shall be made with one of the,,,,,
[48 J].,,,,,,,,,,,,,
,,,,,,,,following processes: SMAW, SAW, GTAW, or FCAW; and the,,,,,
8.4.5 The impact test temperature shall be not warmer than,,,,,,,,composition of the welding consumables,,,,shall meet the,re­
0 °F [-18 °C].,,,,,,,,quirements for F92 in Table 2.6,,,,,
8.4.6 Unless Supplementary Requirement S13 of Specifica­,,,,,,,,,,,,,
tion A 788/A,788M is,specified by,the,purchaser,,,for Grade,,12. Marking,,,,,
F6NM forgings,a minimum,,average,absorbed,,energy of,,,,,,,
,,,,,,,,12.1 In addition to the marking requirements of Specifica­,,,,,
20 ft-lbf [27 J] for each test shall apply at a temperature not,,,,,,,,,,,,,
,,,,,,,,tion A788/A788M, the specification marking shall be followed,,,,,
warmer than -100 °F [-73 °C].,,,,,,,,,,,,,
,,,,,,,,by the letter A for annealed, N for normalized and tempered, or,,,,,
9. Ultrasonic Examination,,,,,,,,Q for liquid quenched and tempered as applicable.,,,,,
9.1 For F91 Type 1 and Type 2 and F92 hollow forgings,,,,,,,,,12.2 For F91 additional marking shall include the appropri­,,,,,
either S20, Ultrasonic Examination, or S22, Ultrasonic Exami­,,,,,,,,ate Type.,,,,,
nation from the Bore Surface, of Specification A788/A788M,,,,,,,,,,,,,,
shall be mandatory.,,,,,,,,13. Test Reports,,,,,
The certification requirements of Specification A788/ 10. Workmanship, Finish, and Appearance,,,,,,,,13.1,,,,,
,,,,,,,,A 788M shall apply.,,,,,
10.1 When fOigings,,have been heat-treated by quenching,,,,,,,,,,,
and tempering, all accessible surfaces shall subsequently be,,,,,,,,14. Keywords,,,,,
examined for quench cracks by the magnetic particle method in,,,,,,,,,,,,,
,,,,,,,,14.1 chromium,alloy,steel;,chromium-molybdenum steel;,,
accordance with Practice A275/A275M.,,,,,,,,,,,,,
,,,,,,,,martensitic stainless steel; pressure containing parts; pressure,,,,,
11. Repair Welding,,,,,,,,vessel service;,steel,forgings-alloy;,,temperature,service
11.1 Repair welding of forgings may be permitted but only,,,,,,,,applications-high,,,,,
at the option of the purchaser. Such repair welds shall be made,,,,,,,,,,,,,
in accordance,with the,ASME,Boiler,and,Pressure,Vessel,,6 This requirement ensures that the sum of Ni + Mn in the welding consumables,,,,,
