CP2 0.50,0.5,,0.1,1.0,purchaser, with no more than one value permitted below the,,,,,,,,
CPS 0.50,0.5,,0.1,1.0,minimum average specified and no value permitted below the,,,,,,,,
CPSb 0.50,0.5,,0.1,1.0,,,,,,,,,
minimum specified for a single specimen. CP7 0.50,0.5,,0.1,1.0,,,,,,,,,
CP9 0.50,0.5,,0.1,1.0,Sll.3 Lateral Expansion Value, shall be agreed upon by the,,,,,,,,
CP11 0.50,0.5,,0.1,1.0,manufacturer and purchaser.,,,,,,,,
CP12 0.50,0.5,,0.1,1.0,,,,,,,,,
CP15 0.50,0.5,0.35,0.1,1.0,Sll.4 Percent,,Shear Area,,,shall,be,agreed,upon by,the
CP21 0.50,0.5,,0.1,1.0,manufacturer and purchaser.,,,,,,,,
CP22 0.50,0.5,,0.1,1.0,,,,,,,,,
CPCA15 0.50,1.0,,0.1,1.5,S12. Drop Weight Test,,,,,,,,
