,,,,,,HBW min,%,,,~ .N..
,,,,,,,,,Q
,,,,,,,,,3:
,S32950L,,100 690,70,485.0,15 293,32 HRC,not required,
,S39274,,116 800,80,550.0,15 310,32HRC,not required,
,S81921,,90 620,65,450.0,25 293,31 HRC,not required,
,S82011,,101 700,75,515.0,30 293,31 HRC,not required,
,,t ,s 0.187 in.,,,,,,,
,,[5.00 mm],,,,,,,
,,t > 0.187 in.,95 655,65,450.0,30 293,31 HRC,not required,
,,[5.00 mm],,,,,,,
,S82012,t >0.187 in.,94 650,58,400.0,35 290,,,
,,[5.00 mm],,,,,,,
,,t '50.187 in.,102 700,73,500.0,35,31 HRC,not required,
,,[5.00 mm],,,,,,,
,S82013,,90 620,65,450.0,30 293,31J,not required,
,S82031,t>0.187 in.,94 650,58,400.0,35 290,,not required,
,,[5.00 mm],,,,,,,
,,t,s0.187 in.,102 700,73,500.0,35,31 HRC,not required,
,,[5.00 mm],,,,,,,:i-
,,,,,,,,,Cll
,S82121,,94 650,65,450.0,25 286,30 HRC,not required,3:
,S82122,t<0.118 in.,101 700,72,500.0,25 290,32 HRC,not required,t!l
,,[3.00 mm],,,,,,,to
w not required Ul,,t2:0.118 in.,87 600,58,400.0,30 290,32 HRC,,
0,,[3.00 mm],,,,,,,~
,S82441,~ t < 0.4 in. [10.0,107 740,78,540.0,25 290,31 HRC,not req\.lired,N
,,mm],,,,,,,Q
,,,,,,,,,N
,,t 2: 0.4 in. [10.0,99 680,70,480.0,25 290,31 HRC,not required,U1
,,mm,,,,,,,
,,,,Ferritic or Martensitic (Chromium),,,,,
,S32803,,87 600,72,500.0,16 241,100 HRBW,not required,
,S40300,403,70 485,30,205.0,25N 217,96 HRBW,180,
,S40500,405,60 415,25,170.0,20 179,88 HRBW,180,
,S40900M,409M,,,,,,,
,S40910,,55 380,25,170.0,20 179,88 HRBW,180,
,S40920,,55 380,25,170.0,20 179,88 HRBW,180,
,S40930,,55 380,25,170.0,20 179,88 HRBW,180,
,S40945,,55 380,30,205.0,22,80 HRBW,180,
,S40975,,60 415,40,275.0,20 197,92 HRBW,180,
,S40977,,65 450,41,280.0,18 180,88 HRBW,not required,
,S41000,410,65 450,30,205.0,20 217,96 HRBW,180,
,S41003,,66 455,40,275.0,18 223,20HRC,not required,
,S41008,410S,60 415,30,205.0,22N 183,89HRBW,180,
,S41045,,55 380,30,205.0,22,80 HRBW,180,
,S41050,,60 415,30,205.0,22 183,89 HRBW,180,
,S41500,,115 795,90,620.0,15 302,32 HRC,not required,
,S42000,420,100° 690°,,,15 217,96 HRBW,not required,
,S42035,,80 550,55,380.0,16 180,88 HRBW,not required,
,S42200,422,,,,248,24 HRC,not required,
,S42900,429F,65 450,30,205.0,22N 183,89HRBW,180,
,S43000,430,65 450,30,205.0,22N 183,89 HRBW,180,
,S43035,439,60 415,30,205.0,22 183,89 HRBW,180,
