1.0,,99,98,98,97,96,96,95,94,94,93,92,92,91,91,90,89,89,88,88
1.5,,98,97,96,95,94,93,92,92,91,90,89,88,87,86,85,84,83,82,81
2.0,,98,96,95,94,92,91,90,89,88,86,85,84,82,81,80,79,77,76,75
2.5,,97,95,94,92,91,89,88,86,84,83,81,80,78,77,75,73,72,70,69
3.0,,96,94,92,91,89,87,85,83,81,79,77,76,74,72,70,68,66,64,62
3.5,,96,93,91,89,87,85,82,80,78,76,74,72,69,67,65,63,61,58,56
4.0,,95,92,90,88,85,82,80,77,75,72,70,67,65,62,60,57,55,52,50
4.5,,94,92,89,86,83,80,77,75,72,69,66,63,61,58,55,52,49,46,44
5.0,,94,91,88,85,81,78,75,72,69,66,62,59,56,53,50,47,44,41,37
5.5,,93,90,86,83,79,76,72,69,66,62,59,55,52,48,45,42,38,35,31
6.0,,92,89,85,81,77,74,70,66,62,59,55,51,47,44,40,36,33,29,25
6.5,,92,88,84,80,76,72,67,63,59,55,51,47,43,39,35,31,27,23,19
7.0,,91,87,82,78,74,69,65,61,56,52,47,43,39,34,30,26,21,17,12
7.5,,91,86,81,77,72,67,62,58,53,48,44,39,34,30,25,20,16,11,6
8.0,,90,85,80,75,70,65,60,55,50,45,40,35,30,25,20,15,10,5,0
