1⁄4,0.54,13.7,,,0.065,1.65,0.088,2.24,0.119,3.02
3/a,0.675,17.1,,,0.065,1.65,0.091,2.31,0.126,3.20
1⁄2,0.84,21.3,0.065,1.65,0.083,2.11,0.109,2.77,0.147,3.73
3⁄4,1.05,26.7,0.065,1.65,0.083,2.11,0.113,2.87,0.154,3.91
1,1.315,33.4,0.065,1.65,0.109,2.77,0.133,3.38,0.179,4.55
11⁄4,1.66,42.2,0.065,1.65,0.109,2.77,0.14,3.56,0.191,4.85
11⁄2,1.9,48.3,0.065,1.65,0.109,2.77,0.145,3.68,0.200,5.08
2,2.375,60.3,0.065,1.65,0.109,2.77,0.154,3.91,0.2i8,5.54
21/2,2.875,73.0,0.083,2.11,0.12,3.05,0.203,5.16,0.276,7.01
3,3.5,88.9,0.083,2.11,0.12,3.05,0.216,5.49,0.300,7.62
31⁄2,4.0,101.6,0.083,2.11,0.12,3.05,0.226,5.74,0.318,8.08
4,4.5,114.3,0.083,2.11,0.12,3.05,0.237,6.02,0.337,8.56
5,5.563,141.3,0.109,2.77,0.134,3.4,0.258,6.55,0.375,9.53
6,6.625,168.3,0.109,2.77,0.134,3.4,0.28,7.11,0.432,10.97
8,8.625,219.1,0.109,2.77,0.148,3.76,0.322,8.18,0.500,12.70
10,10.75,273.1,0.134,3.4,0.165,4.19,0.365,9.27,0.5008,12.708
12,12.75,323.9,0.156,3.96,0.18,4.57,0.3758,9.538,0.5008,12.708
14,14.0,355.6,0.156,3.96,0.1888,4.788,0.3758,9.538,0.5008,12.708
16,16.0,406.4,0.165,4.19,0.1888,4.788,0.3758,9.538,0.5008,12.708
18,18.0,457.0,0.165,4.19,0.1888,4.788,0.3758,9.538,0.5008,12.708
20,20.0,508.0,0.188,4.78,0.2188,5.548,0.3758,9.538,0.5008,12.708
22,22.0,559.0,0.188,4.78,0.2188,5.548,,,...,...
24,24.0,610.0,0.218,5.54,0.25,6.35,0.3758,9.538,0.5008,12.708
30,30.0,762.0,0.25,6.35,0.312,7.92,,,,
