,,,,,,,,,,,,max,,,,,,,,
,TP309Cb,S30940,0.08,2.00,0.045,0.030 1.00,,22.0-,12.0- 0.75,...,10 x C,. . .,. ..,. ..,,. ..,,,,
,,,,,,,,24.0,16.0,,min,,,,,,,,,,
,,,,,,,,,,,1.10 max,,,,,,,,,
,TP309HCb,S30941,0.04-,2.00,0.045,0.030 1.00,,22.0-,12.0- 0.75,...,10 xC,. . .,. ..,. ..,,,,,,
,,,0.10,,,,,24.0,16.0,,min,,,,,,,,,,
,,,,,,,,,,,1.10 max,,,,,,,,,
,,S31002,O.Q15,2.00,0.020,0.015 0.15,,24.0-,19.0- 0.10,. . .,. ..,. ..,0.10,...,,,,,,
,,,,,,,,26.0,22.0,,,,,,,,,,,
,TP310S,S31008,0.08,2.00,0.045,0.030 1.00,,24.0-,19.0- 0.75,. . .,. ..,. . .,. ..,...,,. ..,,,,
,,,,,,,,26.0,22.0,,,,,,,,,,,
,TP310H,S31009,0.04-,2.00,0.045,0.030 1.00,,24.0-,19.0- . . .,. ..,. . .,. ..,. ..,...,. ..,,,,,
,,,0.10,,,,,26.0,22.0,,,,,,,,,,,
,,S31035,0.04-,0.60,0.025,0.015 0.40,,21.5-,23.5-,,0.40-,,0.20-,,2.5-,,0.002-,,W3.0-,
,,,0.10,,,,,23.5,26.5,,0.60,,0.30,,3.5,,0.008,,4.0,
,,,,,,,,,,,,,,,,,,,Co 1.0-,
,,,,,,,,,,,,,,,,,,,2.0,
,TP310Cb,S31040,0.08,2.00,0.045,0.030 1.00,,24.0-,19.0- 0.75,. . .,10 xC,. ..,. . .,. . .,,...,,,,
,,,,,,,,26.0,22.0,,min,,,,,,,,,,e;
,,,,,,,,,,,1.10 max,,,,,,,,,;s:
,,,,,,,,,,,,,,,,,,,,!,:I
,TP310HCb,S31041,0.04-,2.00,0.045,0.030 1.00,,24.0-,19.0- 0.75,. . .,10 x C,. . .,. . .,...,,,,,,=
~,,I_,I 0.10 U.lU-,I ___,, ____,, ___ I __,,26.0 '-L~~u,22.0 I :_L~U I __,I,min, l1.1'~"~axl 1.10 max,,I ---,I,I,I,I,I,I,a
,. . .,S31050,0.025,2.00,0.020,O.Q15 0.4,,24.0-,20.5- 1.6-,. . .,. . .,. ..,0.09-,. . .,...,. ..,,,,;i..
,,,,,,,,26.0,23.5 2.6,,,,0.15,,,,,,,
,,,,,,,,,,,,,,,,,,,,N
,. . .,S31254,0.020,1.00,0.030,0.010 0.80,,19.5-,17.5- 6.0-,. . .,. ..,. . .,0.18-,...,0.50-,. ..,,,,0
,,,,,,,,N 20.5,18.5 6.5,,,,0.25,,1.00,,,,,tJ1
,...,S31266,0.030,2.00-,0.035,0.020 1.00,,23.0-,21.0- 5.2-,,,,0.35-,,1.00-,,,,W 1.50-,
,,,,4.00,,,,25.0,24.0 6.2,,,,0.60,,2.50,,,,2.50,
,,S31272,0.08-,1.5-,0.030,0.015 0.25-,,14.0-,14.0- 1.00-,0.30-,,,,,,,0.004-,,,
,,,012,2.00,,0.75,,16.0,16.0 1.40,0.60,,,,,,,0.008,,,
,,S31277,0.020,3.00,0.030,0.010 0.50,,20.5-,26.0- 6.5-,,,,0.30-,,0.50-,,,,,
,,,,,,,,23.0,28.0 8.0,,,,0.40,,1.50,,,,,
,TP316,S31600,0.08,2.00,0.045,0.030 1.00,,16.0-,10.0- 2.00-,. . .,. ..,. ..,. . .,. . .,...,. ..,,,,~
,,,,,,,,18.0,14.0 3.00,,,,,,,,,,,.w...
,,,,,,,,,,,,,,,,,,,,N
,TP316L,S31603,0.035D,2.00,0.045,0.030 1.00,,16.0-,10.0- 2.00-,. . .,. . .,. ..,. ..,. . .,. . .,...,,,,........
,,,,,,,,18.0,14.0 3.00,,,,,,,,,,,!f;
,,,,,,,,,,,,,,,,,,,,w
,TP316H,S31609,0.04-,2.00,0.045,0.030 1.00,,16.0-,10.0- 2.00-,. . .,. ..,. . .,. . .,...,. ..,. ..,,,,.... N
,,,0.10,,,,,18.0,14.0 3.00,,,,,,,,,,,3:
,TP316Ti,S31635,0.08,2.00,0.045,0.030 0.75,,16.0-,10.0- 2.00-,5x,. . .,. . .,0.10,. . .,. ..,. ..,. ..,...,,~...,
,,,,,,,,18.0,14.0 3.00,(C+N),,,,,,,,,,;s:
,,,,,,,,,,-0.70,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,;i.
,,,,,,,,,,,,,,,,,,,,.w...
,TP316N,S31651,0.08,2.00,0.045,0.030 1.00,,16.0-,10.0- 2.00-,,,,0.10-,...,. ..,. ..,,,,N
,,,,,,,,18.0,14.0 3.00,,,,0.16,,,,,,,>
,,,,,,,,,,,,,,,,,,,,.w
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,...
,TP316LN,S31653,0.035,2.00,0.045,0.030 1.00,,16.0-,10.0- 2.00-,. . .,. ..,. . .,0.10-,...,. ..,. ..,,,,N
,,,,,,,,18.0,14.0 3.00,,,,0.16,,,,,,,a
