A50,A285B,1100-1250 [590-680],1700 [925],,
A55,A285C,1100-1250 [590-680],1700 [925],,
B 60,A515-60,1100-1200 [590--650],1750 [950],,
B 65,A515-65,1100-1200 [590-650],1750 [950],,
B 70,A515-70,1100-1200 [590-650],1750 [950],,
C 55,A516-55,1100-1200 [590-650],1700 [925],1650 [900],1100 [590]
C 60,A516-60,1100-1200 [590-650],1700 [925],1650 [900],1100 [590]
C 65,A516-65,1100-1200 [590-650],1700 [925],1650 [900],1100 [590]
C 70,A516-70,1100--1200 [590-650],1700 [925],1650 [900],1100 [590]
D 70,A537-CI 1,1100-1250 [590-680],1700 [925],,
D 80,A537-CI 2,1100-1250 [590-680],,1650 [900],1100 [590]
H 75,A 302-A,1100-1250 [590-680],1800 [980],,1100 [590]
H 80,A 302-B, C or D,1100--1250 [590-680],1800 [980],,1100 [590]
J 80,A 533-C1 1 c,1100-1250 [590--680],,1800 [980],1100 [590]
J 90,A 533-C1 2°,1100-1250 [590-680],,1800 [980],1100 [590]
J 100,A 533-C1 3c,1100-1250 [590-680],,1800 [980],1100 [590]
L 65,A204A,1100-1200 (590-650),,,
L 70,A204B,1100--1200 (590-650),,,
L 75,A204C,1100-1200 (590-650),,,
N 75,A299A,1100-1200 [590-650],1700 [925],,

pipe class specified.,the plate.
10.2.5 Each repair weld of a defect where the cavity,,
prepared for welding, has a depth exceeding the lesser of 3/s in.,11.2 Permissible variations in dimensions at any point in a
