Over 11/a to 11⁄4  [29 to 32), incl,0.028,0.71,coupons of the bolting material. The production pieces selected,,,,,,
Over 11⁄4 to 1% [32 to 35), incl,0.03,0.76,,,,,,,
Over 1% to 11⁄2 [35 to 38), incl,0.033,0.84,for test shall be identical with respect to the quenched contour,,,,,,
Over 11⁄2  to 2 [38 to 50), incl,0.042,1.07,and size except for length which shall equal or exceed the,,,,,,
Over 2 to 21k [50 to 65), incl,0.052,1.32,length of the represented production pieces.,,,,,,
Over 21⁄2 to 31⁄2 [65 to 90), incl,0.072,1.83,,,,,,,
Over 31k to 41⁄2 [90 to 115), incl,0.09,2.29,15.2 Tension and impact specimens from bolting compo­,,,,,,
Over 41⁄2 to 51⁄2 [115 to 140], incl,0.11,2.79,,,,,,,
Over 51⁄2 to 61⁄2 [140 to 165], incl,0.125,3.18,nents with cross sections of 11⁄2,,in.,[38 mm] or less shall be,,,
Over 61⁄2 to 81⁄4 [165 to 210], incl,0.155,3.94,taken so that their longitudinal axis is on a line representing the,,,,,,
Over 81⁄4 to 91⁄2 [21 0 to 240], incl,0.203,5.16,center of the diameter or thickness.,,,,,,

tempering charge, or each 10 000 lb [4540 kg], whichever is,,,,,,,,,,sections exceeding 11⁄2  in. [38 mm] shall be taken so that their
less. One tension test and one impact test consisting of three,,,,,,,,,,longitudinal axis is midway between mid-thickness and surface
Charpy V-notch,specimens,,shall,be,taken from,each,,test,,or 1 in. [25 mm] below the surface plus the machining
coupon. For testing in accordance with 15.1.1, two tests shall,,,,,,,,,,allowance per side, whichever is less.
be obtained from two representative production pieces from,,,,,,,,,,
each size of each heat in each tempering charge or each 10 000,,,,,,,,,,16. Certification
lb [4540 kg], whichever is less.,,,,,,,,,,16.1 When requested in the purchaser's order, a test report
13.1.2 Hardness Test:,,,,,,,,,,shall be furnished to the purchaser. In addition to the require­
13.1.2.1 Bars 2 in. [50 mm] and over and all seamless tubes,,,,,,,,,,ments of Specification A962/A962M the report shall include
or bored bars shall be tested near each end of each mill-treated,,,,,,,,,,any other tests which may be specified in writing by the
length. Each forged hollow with thickness 2 in.,,,,,,[50 mm],,or,,purchaser.
over shall be tested on the surface.,,,,,,,,,,
13.1.2.2 Bars under 2 in. [50 mm] shall be tested near each,,,,,,,,,,17. Product Marking
end of not less than 10 % of the bars. Forged hollows less than,,,,,,,,,,
2 in. [50 mm] thick shall be tested on the surface of not less,,,,,,,,,,17.1 Bars under 2 in. [50 mm] in diameter shall be bundled
than 10 % of the forgings.,,,,,,,,,,and tagged with the specification, grade symbol, and mill heat
,,,,,,,,,,number. The specification number marked on the tag need not
13.2 Hardness Tests of Annealed Bolting Material:,,,,,,,,,,
,,,,,,,,,,include specification year date and revision number.
13.2.1 Hardness tests shall be made on the annealed bars to,,,,,,,,,,
assure compliance with 10.2.,,,,,,,,,,17.2 Bars 2 in. [50 mm] and over in diameter and all
,,,,,,,,,,seamless tubes and bored bars shall be die-stamped with the
13.3 Bolting Components:,,,,,,,,,,
,,,,,,,,,,11.1iU heat number and grade symbol on one surface.
3.3rTfie number of bolting components tested shall be as,,,,,,,,,,
specified in Specification A962/A,,,,962M.,,,,,,17 .3 Each hollow forging shall be die-stamped with the heat
