Production Forgings:,production forgings shall not fall below the actual tempering,,,,,,,
Al0.4.2.1 All information pertarnmg to the quench and,temperature of the,,master forging.,,(3) At least one contact,,,
temper of the master forging shall be recorded on an appro­,surface thermocouple,,shall be placed on each forging,,,,in,a
priate permanent record, similar to the one shown in Table,production load. Temperature shall be recorded for all surface,,,,,,,
AlO.l.,thermocouples,on,a Time,Temperature,,Recorder and,such,
Al0.4.2.2 All information pertaining to the quench and,records shall be retained as permanent documentation.,,,,,,,
temper of the production forgings shall be appropriately,,,,,,,,
,Al0.4.3 Heat-cycle Simulation:,,,,,,,
recorded, preferably on a form similar to that used in,,,,,,,,
Al0.4.2.1. Quench records of production forgings shall be,Al0.4.3.1,Program,charts,,shall be made,from the,data,
retained for future reference. The quench and temper record of,recorded on the master chart. All test specimens shall be given,,,,,,,
the master forging shall be retained as a permanent record.,the same heating rate above, the ACl, the same holding time,,,,,,,
Al0.4.2.3 A copy of the master forging record shall be,and the same cooling rate as the production forgings.,,,,,,,
stored with the heat treatment record of the production forging.,Al0.4.3.2,The heating cycle above theACl, a portion of the,,,,,,
Al0.4.2.4 The essential variables, as set forth on the heat,holding cycle, and the cooling portion of the master chart shall,,,,,,,
treat record, shall be controlled within the given parameters on,be duplicated and the allowable limits on temperature and time,,,,,,,,
the production forging.,as specified,in (a),through,,(c), shall,be established,,for
Al0.4.2.5 The temperature of the quenching medium prior,verification of the adequacy of the simulated heat treatment.,,,,,,,
to quenching each production forging shall be equal to or lower,(a ) Heat Cycle Simulation of Test Coupon Heat Treatment,,,,,,,
than the temperature of the quenching medium prior to,for Quenched and Tempered Forgings and Bars-If cooling,,,,,,,
quenching the master forging.,rate data for the forgings,,,and bars,and cooling rate control,,,
Al0.4.2.6 The time elapsed from opening the furnace door,devices for the test specimens are available, the test specimens,,,,,,,
to quench for the production forging shall not exceed that,may be heat-treated in the device.,,,,,,,
elapsed for the master forging.,(b) The test coupons shall be heated to,,,,,substantially the,,
Al0.4.2.7 If the time parameter is exceeded in opening the,same maximum temperature as the forgings or bars. The test,,,,,,,
furnace door to beginning of quench, the forging shall be,coupons shall be cooled at a rate similar to and no faster than,,,,,,,
placed back into the furnace and brought back up to equaliza­,the cooling rate representative of the test locations and shall be,,,,,,,
tion temperature.,within 25 °P (14 °C) and 20 sat all temperatures after cooling,,,,,,,
Al0.4.2.8 All forgings represented by the same master,begins. The test coupons shall be subsequently heat treated in,,,,,,,
forging shall be quenched with like orientation to the surface of,accordance,with the,thermal,,treatments,below the,critical,
the quench bath.,temperature including tempering and simulated post weld heat,,,,,,,
Al0.4.2.9 All production forgings shall be quenched in the,treatment.,,,,,,,
same quench tank, with the same agitation as the master,(c) Simulated Post Weld Heat Treatment of Test Specimens,,,,,,,
forging.,(for ferritic steel forgings and bars)-Except for carbon steel (P,,,,,,,
