,Designation,Strength,,Strength,,in 2 in.,Hardness,Hardness,Designation,Strength,,Strength,,in 2 in.,Hardness,Hardness
,,min, ksi,min, ksi,or 50,Number,,Number,,,min, ksi,min, ksi,or50,Number,,Number,
,,[MPa],[MPa],mm,,max,max8,,[MPa],[MPa],mm,,max,max8
,,,,min,%,,,,,,min,%,,
TP201,S20100,95,38 [260],35,B95,230,TP316LN S31653,75,30 [205],35,B90,200
,,[655],,,,,,[515],,,,
TP 201LN,S20153,95,45 [310],45,B100,263,S31655,92 [635],45 [310],35,B100,270
,,[655],,,,,TP317 S31700,75,30 [205],35,B90,200
TP202,S20200,90,38 [260],35,B95,230,,[515],,,,
,,[620],,,,,TP317L S31703,75,30 [205],35,B90,200
TPXM-19,S20910,100,55 [380],35,C25,285,,[515],,,,
,,[690],,,,,S31725,75,30 [205],35,B90,200
TPXM-29,S24000,100,55 [380],35,B100,270,,[515],,,,
,,[690],,,,,S31726,80,35 [240],35,B90,200
TP304,S30400,75,30 [205],35,B90,200,,[550],,,,
,,[515],,,,,S31727,80,36 [245],35,B96,230
TP304L,S30403,70,25[170],35,B90,200,,[550],,,,
,,[485],,,,,S32050,98,48 [330],40,B100,270
TP304H,S30409,75,30 [205],35,B90,200,,[675],,,,
,,[515],,,,,S32053,93,43 [295],40,B96,230
,S30415,87,42 [290],35,B96,230,,[640],,,,
,,[600],,,,,TP321 S32100,75,30 [205],35,B90,200
TP304N,S30451,80,35 [240],35,B90,200,,[515],,,,
,,[550],,,,,TP321H S32109,75,30 [205],35,B90,200
TP304LN,S30453,75,30 [205],35,B90,200,,[515],,,,
,,[515],,,,,S32615,80 [550],32 [220],25,B100,270
TP305,S30500,75,30 [205],35,B90,200,S32654,109,62 [430],35,B100,270
,,[515],,,,,,[750],,,,
,S30601,78 [540],37 [255],30,B100,270,S33228,73,27 [185],30,B90,200
,S30615,90,40 [275],35,B95,230,,[500],,,,
,,[620],,,,,S34565,115,60 [415],35,B100,270
,S30815,87,45 [310],35,B95,230,,[795],,,,
,,[600],,,,,TP347 S34700,75,30 [205],35,B90,200
TP309S,S30908,75,30 [205],35,B90,200,,[515],,,,
,,[515],,,,,TP347H S34709,75,30 [205],35,B90,200
TP309H,S30909,75,30 [205],35,B90,200,,[515],,,,
,,[515],,,,,TP348 S34800,75,30 [205],35,B90,200
TP309Cb,S30940,75,30 [205],35,B90,200,,[515],,,,
,,[515],,,,,TP348H S34809,75,30 [205],35,B90,200
TP309HCb,S30941,75,30 [205],35,B90,200,,[515],,,,
,,[515],,,,,S35045,70,25[170],35,B90,200
TP310S,S31008,75,30 [205],35,B90,200,,[485],,,,
,,[515],,,,,TPXM-15 S38100,75,30 [205],35,B90,200
TP310H,S31009,75,30 [205],35,B90,200,,[515],,,,
,,[515],,,,,S38815,78 [540],37 [255],30,B100,270
TP310Cb,S31040,75,30 [205],35,B90,200,Alloy 20 N08020,80 [550],35 [240],30,B95,230
,,[515],,,,,N08367,,,,,
TP310HCb,S31041,75,30 [205],35,B90,200,ts 0.187,100,45 [310],30,B100,270
,,[515],,,,,in.,[690],,,,
,S31050:,,,,,,[5mm],,,,,
,ts 0.25,84,39 [270],25,B95,230,1>0.187,95,45 [310],30,B100,270
,in.,[580],,,,,In.,[655],,,,
,[6mm],,,,,,[5mm],,,,,
,t > 0.25 in.,78,37 [255],25,B95,230,800 N08800,75 [515],30 [205],30,B90,200
,[6mm],[540],,,,,800H N08810,65 [450],25 [170],30,B90,200
,S31254:,,,,,,N08811,65 [450],25 [170],30,B90,200
,ts 0.187,98,45 [310],35,B100,270,N08904,71,31 [215],35,B90,200
,in.,[675],,,,,,[490],,,,
,[5.00 mm],,,,,,N08926,94,43 [295],35,B100,270
,t > 0.187,95,45 [310],35,B100,270,,[650],,,,
,in.,[655],,,,,,,,,,
,,,,,,,A Not applicable to tubes less than 1/a in. [3.2 mm] in outside diameter or having,,,,,
,[5.00 mm],,,,,,,,,,,
,,,,,,,wall thickness below 0.015 in. [0.4 mm], or both. The tensile properties of such,,,,,
,S31266,109,61 [420],35,B100,270,,,,,,
,,,,,,,small diameter or thin wall tubes shall be a matter of agreement between the,,,,,
,,[750],,,,,,,,,,
,,,,,,,manufacturer and the purchaser.,,,,,
,S31277,112,52 [360],40,B100,270,,,,,,
,,,,,,,8 See 10.2 for when Vickers testing is permitted.,,,,,
,,[770],,,,,,,,,,
TP316,S31600,75,30 [205],35,B90,200,,,,,,
,,[515],,,,,,,,,,
TP316L,S31603,70,25 [170],35,B90,200,,,,,,
,,[485],,,,,,,,,,
TP316H,S31609,75,30 [205],35,B90,200,,,,,,
,,[515],,,,,13.6 Hydrostatic,or Nondestructive,,Electric,Test-Each,
TP316N,S31651,80,35 [240],35,B90,200,tube shall be subjected to either the hydrostatic or the nonde-,,,,,
