,nation,,,,,,,,,,,,,
,,,ganese,phorus,fur,con,,,denum,nium,bium,talum,gen8,

TP304H,S30409,0.04-0.10,2.00,0.045,0.030,0.75,8.0-11.0,18.0-20.0,,,,,,
TP304N,S30451,0.08,2.00,0.045,0.030,0.75,8.0-11.0,18.0-20.0,,,,,0.10-0.16,
TP304LN,S30453,0.035,2.00,0.045,0.030,0.75,8.0-11.0,18.0-20.0,,,,,0.10-0.16,
TP316,S31600,0.08,2.00,0.045,0.030,0.75,11.0-14.0,16.0-18.0,2.00-3.00,,,,,
TP316H,S31609,0.04-0.10,2.00,0.045,0.030,0.75,11.0-14.0,16.0-18.0,2.00-3.00,,,,,
TP316N,S31651,0.08,2.00,0.045,0.030,0.75,11.0-14.0,16.0-18.0,2.00-3.00,,,,0.10-0.16,
TP316LN,S31653,0.035,2.00,0.045,0.030,0.75,11.0-14.0,16.0-18.0,2.00-3.00,...,,,0.10-0.16,
TP321,S32100,0.08,2.00,0.045,0.030,0.75,9.0-13.0,17.0-19.0,,C,,,,
TP321H,S32109,0.04-0.10,2.00,0.045,0.030,0.75,9.0-13.0,17.0-19.0,,D,...,,,
TP347,S34700,0.08,2.00,0.045,• 0.030,0.75,9.0-13.0,17.0-19.0,,,E,,,
TP347H,S34709,0.04-0.10,2.00,0.045,0.030,0.75,9.0-13.0,17.0-19.0,,,F,,,
TP347LN,S34751,0.005-,2.00,0.045,0.030,1.0,9.0-13.0,17.0- 19.0,,,0.20-,,0.06-0.10,
,,0.020,,,,,,,,,0.50G,,,
TP348H,S34800,0.08,2.00,0.045,0.030,0.75,9.0-13.0,17.0-19.0,,,E,0.1,,Co 0.20
TP348H,S34809,0.04-0.10,2.00,0.045,0.030,1.0,9.0-13.0,17.0-19.0,,,F,0.1,,
16-8-2H,S16800,0.05-0.10,2.00,0.045,0.030,0.75,7.5-9.5,14.5-16.5,1.50-2.00,,,,,
,S31725,0.030,2.00,0.045,0.030,0.75,13.5-17.5,18.0-20.0,4.0-5.0,,,,0.20 max,Cu 0.75
,S31726,0.030,2.00,0.045,0.030,0.75,14.5-17.5,17.0-20.0,4.0-5.0,,,,0.10-0.20,Cu 0.75
,S34565,0.030,5.0-7.0,0.03,0.010,1.0,16.0-18.0,23.0-25.0,4.0-5.0,,,,0.040-0.060,Cb0.10
,S31266,0.030,2.00-4.00,0.035,0.020,1.0,21.0-24.0,23.0-25.0,5.2-6.2,,,,0.035-0.060,Cu
