,,cold-finished,,,,,,,,
N08367,A,hot-finished or,all,95,655.0,45,310.0,30,50.0,
,,cold-finished,,,,,,,,
N08700,A,hot-finished or,all,80,550.0,35,240.0,30,50.0,
,,cold-finished,,,,,,,,
N08800 800,A,hot-finished or,all,75,515.0,30,205.0,30,,192.0
,,cold-finished,,,,,,,,
N08810 800H,A,hot-finished or,all,65,450.0,25,170.0,30,,192.0
,,cold-finished,,,,,,,,
N08811,A,hot-finished or,all,65,450.0,25,170.0,30,,192.0
,,cold-finished,,,,,,,,
N08904 904L,A,hot-finished or,all,71,490.0,31,220.0,35,,
,,cold-finished,,,,,,,,
N08925,A,hot-finished or,all,87,600.0,43,295.0,40,,217.0
,,cold-finished,,,,,,,,
N08926,A,hot-finished or,all,94,650.0,43,295.0,35,,256.0
,,cold-finished,,,,,,,,
201,202,A,hot-finished or,all,75,515.0,40,275.0,40,45.0,
,,cold-finished,,,,,,,,
S20161,A,hot-finished,all,125,860.0,50,345.0,40,40.0,255.0
,,cold-finished,all,125,860.0,50,345.0,40,40.0,311.0
S20162,A,hot-finished or,all,100,690.0,50,345.0,50,60.0,
,,cold finished,,,,,,,,
205,A,hot-finished or,all,100,690.0,60,414.0,40,50.0,
,,cold-finished,,,,,,,,
XM-19,A,hot-finished or,all,100,690.0,55,380.0,35,55.0,
,,cold-finished,,,,,,,,
,As,hot-finished or,up to 2 [50.8], incl,135,930.0,105,725.0,20,50.0,
,hot-,cold-finished,,,,,,,,
,rolled,,,,,,,,,
,,,over 2 to 3 [50.8 to 76.2],,115,795.0,75,515.0,25,50.0,
,,,incl,,,,,,,
,,,over 3 to 8 [76.2 to 203.2],,100,690.0,60,415.0,30,50.0,
,,,incl,,,,,,,
S21800,A,hot-finished or,all,95,655.0,50,345.0,35,55.0,241.0
,,cold-finished,,,,,,,,
XM-10, XM-11,A,hot-finished or,all,90,620.0,50,345.0,45,60.0,
,,cold-finished,,,,,,,,
XM-29,A,hot-finished or,all,100,690.0,55,380.0,30,50.0,
,,cold-finished,,,,,,,,
XM-28,A,hot-finished or,all,100,690.0,55,380.0,30,50.0,
,,cold-finished,,,,,,,,
S24565,A,hot-finished or,all,115,795.0,60,415.0,35,40.0,
,,cold-finished,,,,,,,,
S28200,A,hot-finished or,all,110,760.0,60,410.0,35,55.0,
,,cold finished,,,,,,,,
302,302B, 304,304LN,,A,hot-finished,all,75F,515.0,30F,205.0,40G,50.0,
305,308,309, 309S,,,cold-finished,up to1⁄2 [12.70] incl,90,620.0,45,310.0,30,40.0,
309Gb, 310, 310S,,,,over 1⁄2 [12. 70],75F,515.0,30F,205.0,30,40.0,
310Gb, 314, 316,,,,,,,,,,,
316LN, 316Gb, 316TI,,,,,,,,,,,
317, 321, 347,,,,,,,,,,,
348,,,,,,,,,,
304L, 316L,A,hot-finished,all,70,485.0,25,170.0,40G,50.0,
,,cold-finished,up to 1⁄2 [12. 70] incl.,90,620.0,45,310.0,30,40.0,
,,,over1⁄2 [12.70],70,485.0,25,170.0,30,40.0,
304N, 316N,A,hot-finished or,all,80,550.0,35,240.0,30,,
,,cold-finished,,,,,,,,
202,302,304, 304N, 316,,B,cold-finished,up to 3⁄4 [19.05] incl,125,860.0,100,690.0,12,35.0,
316N,,,,,,,,,,
304L, 316L,,,over 3⁄4 [19.05] to,115,795.0,80,550.0,15,35.0,
,,,1 [25.40],,,,,,,
,,,over 1 [25.40] to 11⁄4,105,725.0,65,450.0,20,35.0,
,,,[31.75],,,,,,,
,,,over 1 1⁄4 [31.75] to 1 1⁄2,100,690.0,50,345.0,24,45.0,
