X 114,33.5,27.29,10.070,0.930,0.570,X 170,21 600,,693,256,23.6,14.5
X 102,30.0,27.09,10.015,0.830,0.515,X 152,19 400,,688,254,21.1,13.1
X 94,27.7,26.92,9.990,0.745,0.490,X 140,17 900,,684,254,18.9,12.4
X 84,24.8,26.71,9.960,0.640,0.460,X 125,16 000,,678,253,16.3,11.7
W24 x 370,108.0,27.99,13.660,2.720,1.520,W610 x 551,70 200,,711,347,69.1,38.6
X 335,98.4,27.52,13.520,2.480,1.380,X 498,63 500,,699,343,63.0,35.1
X 306,89.8,27.13,13.405,2.280,1.260,X 455,57 900,,689,340,57.9,32.0
X 279,82.0,26.73,13.305,2.090,1.160,X 415,52 900,,679,338,53.1,29.5
X 250,73.5,26.34,13.185,1.890,1.040,X 372,47 400,,669,335,48.0,26.4
X 229,67.2,26.02,13.110,1.730,0.960,X 341,43 400,,661,333,43.9,24.4
X 207,60.7,25.71,13.010,1.570,0.870,X 307,39 100,,653,330,39.9,22.1
X 192,56.3,25.47,12.950,1.460,0.810,X 285,36 100,,647,329,37.1,20.6
X 176,51.7,25.24,12.890,1.340,0.750,X 262,33 300,,641,327,34.0,19.0
X 162,47.7,25.00,12.955,1.220,0.705,X 241,30 800,,635,329,31.0,17.9
X 146,43.0,24.74,12.900,1.090,0.650,X 217,27 700,,628,328,27.7,16.5
X 131,38.5,24.48,12.855,Q.960,0.605,X 195,24 800,,622,327,24.4,15.4
X 117,34.4,24.26,12.800,0.850,0.550,X 174,22 200,,616,325,21.6,14.0
X 104,30.6,24.06,12.750,0.750,0.500,X 155,19 700,,611,324,19.0,12.7
W24 x 103,30.3,24.53,9.000,0.980,0.550,W610 x 153,19 600,,623,229,24.9,14.0
X 94,27.7,24.31,9.065,0.875,0.515,X 140,17 900,,617,230,22.2,13.1
X 84,24.7,24.10,9.020,0.770,0.470,X 125,15 900,,612,229,19.6,11.9
X 76,22.4,23.92,8.990,0.680,0.440,X 113,14 500,,608,228,17.3,11.2
X 68,20.1,23.73,8.965,0.585,0.415,X 101,13 000,,603,228,14.9,10.5
W24 x 62,18.2,23.74,7.040,0.590,0.430,W610 x 92,11 700,,603,179,15.0,10.9
X 55,16.2,23.57,7.005,0.505,0.395,X 82,10 500,,599,178,12.8,10.0
W21 x 275,80.9,24.13,12.890,2.190,1.220,W530 x 409,52 200,,613,327,55.6,31.0
X 248,72.9,23.74,12.775,1.990,1.100,X 369,47 000,,603,324,50.5,27.9
X 223,65.6,23.35,12.675,1.790,1.000,X 332,42 300,,593,322,45.5,25.4
X 201,59.2,23.03,12.575,1.630,0.910,X 300,38 200,,585,319,41.4,23.1
X 182,53.7,22.72,12.500,1.480,0.830,X 272,34 600,,577,317,37.6,21.1
X 166,48.9,22.48,12.420,1.360,0.750,X 248,31 500,,571,315,34.5,19.0
X 147,43.2,22.06,12.510,1.150,0.720,X 219,27 900,,560,318,29.2,18.3
X 132,38.8,21.83,12.440,1.035,0.650.,X 196,25 000,,554,316,26.3,16.5
X 122,35.9,21.68,12.390,0.960,0.600,X 182,23 200,,551,315,24.4,15.2
X 111,32.7,21.51,12.340,0.875,0.550,X 165,21 100,,546,313,22.2,14.0
X 101,29.8,21.36,12.290,0.800,0.500,X 150,19 200,,543,312,20.3,12.7
W21 x 93,27.3,21.62,8.420,0.930,0.580,W530 x 138,17 600,,549,214,23.6,14.7
X 83,24.3,21,43,8.355,0.835,0.515,X 123,15 700,,544,212,21.2,13.1
X 73,21.5,21.24,8.295,0.740,0.455,X 109,13 900,,539,211,18.8,11.6
X 68,20.0,21.13,8.270,0.685,0.430,X 101,12 900,,537,210,17.4,10.9
X 62,18.3,20.99,8.240,0.615,0.400,X 92,11 800,,533,209,15.6,10.2
X 55,16.2,20.80,·8.220,0.522,0.375,X 82,10 500,,528,209,13.3,9.5
X 48,14.1,20.62,8.140,0.430,0.350,X 72,9 180,,524,207,10.9,9.0
W21 x 57,16.7,21.06,6.555,0.650,0.405,W530 x 85,10 800,,535,166,16.5,10.3
X 50,14.7,20.83,6.530,0.535,0.380,X 74,9 480,,529,166,13.6,9.7
x44,13.0,20.66,6.500,0.450,0.350,X 66,8 390,,525,165,11.4,8.9
W18 x 311,91.5,22.32,12.005,2.740,1.520,W460 x464,59 100,,567,305,69.6,38.6
X 283,83.2,21.85,11.890,2.500,1.400,X 421,53 700,,555,302,63.5,35.6
X 258,75.9,21.46,11.770,2.300,1.280,X 384,49 000,,545,299,58.4,32.5
X 234,68.8,21.06,11.650,2.110,1.160,X 349,44 400,,535,296,53.6,29.5
X 211,62.1,20.67,11.555,1.910,1.060,X 315,40 100,,525,293,48.5,26.9
X 192,56.4,20.35,11.455,1.750,0.960,X 286,36 400,,517,291,44.4,24.4
X 175,51.3,20.04,11.375,1.590,0.890,X 260,33 100,,509,289,40.4,22.6
X 158,46.3,19.72,11.300,1.440,0.810,X 235,29 900,,501,287,36.6,20.6
X 143,42.1,19.49,11.220,1.320,0.730,X 213,27 100,,495,285,33.5,18.5
X 130,38.2,19.25,11.160,1.200,0.670,X 193,24 700,,489,283,30.5,17.0
X 119,35.1,18.97,11.265,1.060,0.655,X 177,22 600,,482,286,26.9,16.6
X 106,31.1,18.73,11.200,0.940,0.590,X 158,20 100,,476,284,23.9,15.0
X 97,28.5,18.59,11.145,0.870,0.535,X 144,18 400,,472,283,22.1,13.6
X 86,25.3,18.39,11.090,0.770,0.480,X 128,16 300,,467,282,19.6,12.2
X 76,22.3,18.21,11.035,0.680,0.425,X 113,14 400,,463,280,17.3,10.8
