,S30500,,0.12,2.0,0.045,0.03,1.0,17.0-19.0,11.0-13.0
B8PA,,2.0,,,,,,,

,Variation8,,,,,,,,,,,,
,B8N, 304N,,1A, 1B, 1D,,,,,,,,,,,,
,,,0.08,2.00,0.045,0.03,1.00,18.0-20.0,8.0-11.0,,,0.10-0.16,
,BBNA S30451,2,,,,,,,,,,,
,Product,,,,,,,,,,,,
,Analysis,,0.01,0.04,0.01,0.005,0.05,0.20,0.15,,,0.01,
,Variation8,,,,,,,,,,,,
,B8MN, 316N,,1A, 18, 1D,,,,,,,,,,,,
,,,0.08,2.00,0.045,0.03,1.00,16.0-18.0,10.0-13.0,2.00-3.00,,0.10-0.16,
,B8MNA S31651,2,,,,,,,,,,,
,Product,,,,,,,,,,,,
,Analysis,,0.01,0.04,0.01,0.005,0.05,0.20,0.15,0.10,,0.01,
,Variation8,,,,,,,,,,,,
,BBMLCuN,,1A, 1B, 1D,,,,,,,,,,,,
,S31254,,0.02,1.00,0.03,0.01,0.80,19.5-20.5,17.5-18.5,6.0-6.5,0.50-1.00,0.18-0.25,
,B8MLCuNA,2,,,,,,,,,,,>
,,,,,,,,,,,,,Cll
,:s: Product,,,,,,,,,,,,~
,Analysis,,0.005,0.03,0.005,0.002,0.05,0.20,0.15,0.10,,0.02,t:ll
N,Variations,,,,,,,,,,,,'"Cl
w,,,,,,,,,,,,,< C"l
-....:i,,,,,,,,,,,,,
,B8T,,,,,,,,,,,,5x,
,321,,,,,,,,,,,,,=
,B8TA ~ S32100,1, 1A, 2,0.08,2.00,0.045,0.03,1.00,17.0-19.0,9.0-12.0,,,(C + N) 0.10,
,,,,,,,,,,,,to 0.70,N
,,,,,,,,,,,,,0
,,,,,,,,,,,,,N
,,,,,,,,,,,,,CJ1
,Product,,,,,,,,,,,,
,,,,,,,,,,,,0.05,
,Analysis,,0.01,0.04,0.01,0.005,0.05,0.20,0.15,,,,
,,,,,,,,,,,,under,
,Variations,,,,,,,,,,,,
,B8R,,,,,,,,,,,,,
,S20910,1C,1D,0.06,4.Q-6.0,0.045,0.03,1.00,20.5-23.5,11.5-13.5,1.50-3.00,,0.10-0.30 0.10-0.30 0.20-0.40,
,B8RA,,,,,,,,,,,,
,Product,,,,,,,,,,,,
,Analysis,,0.01,0.05,0.005,0.005,0.05,0.25,0.15,0.10,,0.05 0.02 0.02,
,Variations,,,,,,,,,,,,
,BBS,,,,,,,,,,,,,
,S21800,1C,1D,0.1,7.0-9.0,0.06,0.03,3.5-4.5,16.0-18.0,8.0-9.0,,,0.08-0.18,
,BBSA,,,,,,,,,,,,
,Product,,,,,,,,,,,,
,Analysis,,0.01,0.06,0.005,0.005,0.15,0.20,0.10,,,0.01,
,Variation8,,,,,,,,,,,,
,,,,,,,,,,,,,Cll
,BBLN,,,,,,,,,,,,,~
,S30453,1, 1A, 1D,0.03,2.00,0.045,0.03,1.00,18.0-20.0,8.0-11.0,,,0.10-0.16,
,B8LNA,,,,,,,,,,,,"~"'
,,,,,,,,,,,,,w
,,,,,,,,,,,,,.......
,Product,,,,,,,,,,,,Cll
,Analysis,,0.005,0.04,0.01,0.005,0.05,0.20,0.15,,,0.01,~
,Variations,,,,,,,,,,,,~""'
