corrosion-resisting and high-temperature service. Most of these,,,,,,Flat-Rolled Stainless and Heat-Resisting,,Steel Plate,
grades are commonly known as the "straight-chromium" types,,,,,,Sheet, and Strip,,
and are characterized by being ferromagnetic.,,Two,,of these,,A763 Practices for Detecting Susceptibility to Intergranular,,
,,,,,,Attack in Ferritic Stainless Steels,,
grades, TP410 and UNS S 41500 (Table 1), are amenable to,,,,,,,,
,,,,,,Al016/A1016M Specification for General Requirements for,,
hardening by heat treatment, and the high-chromium, ferritic,,,,,,,,
,,,,,,Ferritic Alloy Steel, Austenitic Alloy Steel, and Stainless,,
alloys are sensitive to notch-brittleness,,on slow,cooling,to,,,,
,,,,,,Steel Tubes,,
ordinary temperatures. These features should be recognized in,,,,,,,,
,,,,,,E213 Practice for Ultrasonic Testing of Metal,,Pipe and
the use of these materials.,,,,,,,,
,,,,,,Tubing,,
1.2 An optional supplementary requirement is provided, and,,,,,,E273 Practice for Ultrasonic Testing of the Weld Zone of,,
when desired, shall be so stated in the order.,,,,,,Welded Pipe and Tubing,,
1.3 The values stated in either inch-pound units or SI units,,,,,,3. Terminology,,
are to be regarded separately as standard. Within the text, the,,,,,,,,
,,,,,,3.l Lot Definitions:,,
SI units are shown in brackets. The,values,stated in,,each,,,,
,,,,,,3.1.1 For flange and flaring requirements,,,the term lot
system may not be exact equivalents; therefore, each system,,,,,,,,
,,,,,,applies to all tubes, prior to cutting, of the same nominal size,,
shall be used independently of the other.,,Combining values,,,,,,
,,,,,,and wall thickness that are produced from the same heat of,,
from the two systems may result in non-conformance with the,,,,,,,,
,,,,,,steel. If final heat treatment is in a batch-type furnace,,,a lot
standard. The inch-pound units shall,apply,unless,,the "M",,,,
,,,,,,shall include only those tubes of the same size and from the,,
designation of this specification is specified in the order.,,,,,,same heat that are heat treated in the same furnace charge. If,,
1.4 This international standard was,,developed,in,accor­,,the final heat treatment is in a continuous furnace, the number,,
dance with internationally recognized principles on standard­,,,,,,of tubes of the same size and from the same heat in a lot shall,,
ization established in the Decision,on,Principles,,for the,,be determined from the size of the tubes as given in Table 2.,,
Development of International Standards,,,Guides and Recom­,,,,3 .1.2 For tensile and hardness test requirements, the term lot,,
mendations issued by the World Trade Organization Technical,,,,,,applies to all tubes, prior to cutting, of the,same,nominal
