,nese,phorus,,,,,num,,ium,Elements

F 347H,S34709,0.04-0.10,2.00,0.045 0.030,1.00,9.0-13.0,,17.0-20.0,,M,,
F347LN,S34751,0.005-0.020,2.00,0.045 0.030,1.00,9.0-13.0,,17.0-19.0,,o.20-o.50N,,N 0.06-0.10
F347LNCuB,S34752,0.005-0.020,2.00,0.035 0.010,0.60,10.0-13.0,,17.0-19.0,0.20-1.20,o.20-o.50N,,Cu 2.50-3.50
,,,,,,,,,,,,B 0.001-0.005
,,,,,,,,,,,,N 0.06-0.12
F 348,S34800,0.08,2.00,0.045 0.030,1.00,9.0-13.0,,17.0-20.0,,,,Co 0.20
,,,,,,,,,,,,Ta 0.10
F 348H,S34809,0.04-0.10,2.00,0.045 0.030,1.00,9.0-13.0,,17.0-20.0,,M,,Co 0.20
,,,,,,,,,,,,Ta 0.10
F XM-11,S21904,0.040,8.0-10.0,0.060 0.030,1.00,5.5-7.5,,19.0-21.5,,,,N 0.15-0.40
F XM-19,S20910,0.06,4.0-6.0,0.040 0.030,1.00,11.5-13.5,,20.5-23.5,1.50-3.00,0.10-,,N 0.20-0.40
,,,,,,,,,,0.30,,V 0.10-0.30
F 20,N08020,.07,2.00,0.045 0.035,1.00,32.0-38.0,,19.0-21.0,2.00-3.00,8xCmin,,Cu 3.0-4.0
,,,,,,,,,,-1.00,,
F 44,S31254,0.020,1.00,0.030 0.010,0.80,17.5-18.5,,19.5-20.5,6.0-6.5,,,Cu 0.50-1.00
,,,,,,,,,,,,N 0.18-0.25
F 45,S30815,0.05-0.10,0.80,0.040 0.030,1.40-2.00,10.0-12.0,,20.0-22.0,,,,N 0.14-0.20
,,,,,,,,,,,,Ce 0.03-0.08
F 46,S30600,0.018,2.00,0.020 0.020,3.7-4.3,14.0-15.5,,17.0-18.5,0.20,,,Cu 0.50
F 47,S31725,0.030,2.00,0.045 0.030,0.75,13.0-17.5,,18.0-20.0,4.0-5.0,,,N 0.10
