,,50,,100,,150,,200,,400,
,excl,,,,,
,,excl,excl,excl,excl,incl
To 800, excl,13,13,19,19,25,25
800 to 2100, excl,13,16,22,25,29,32
2100 to 2700, excl,16,19,25,29,32,35
2700 to 3300, incl,22,25,29,32,35,38

mm,excl,1200,1500,1800,2100,2400,2700,3000,3600,4200,over

6 to 10, excl,19,24,29,35,44,48,51,57,60,,
10 to 12, excl,19,22,24,24,29,33,38,41,48,70.0,79.0
12 to 20, excl,16,19,21,22,25,29,32,35,41,57.0,76.0
20 to 25, excl,16,19,22,22,24,25,29,33,38,51.0,67.0
25 to 50, excl,14,16,19,21,22,24,25,25,25,41.0,57.0
50 to 100, excl,13,14,18,19,19,19,19,22,25,32.0,41.0
100 to 150, excl,14,18,'19,19,22,22,24,29,32,32.0,38.0
150 to 200, excl,16,19,19,24,25,29,32,33,38,38.0,38.0
200 to 250, excl,19,21,24,25,29,32,33,35,38,38.0,38.0
250 to 300, excl,19,24,29,32,33,35,38,38,38,38.0,38.0
300 to 400, incl,22,25,30,33,35,38,38,38,38,38.0,38.0
