,0.06 to 0.10, incl,0.01,0.D1,0.01,0.D1,0.01,0.01
,0.11 to 0.25, incl,0.02,0.03,0.03,0.04,0.05,0.05
,0.26 to 0.55, incl,0.03,0.04,0.04,0.05,0.06,0.06
,0.56 and over,0.04,0.05,0.05,0.06,0.07,0.07
Manganese,Up to and incl 0.90,0.03,0.04,0.05,0.06,0.07,0.08
,0.91 and over,0.06,0.06,0.07,0.08,0.08,0.09
Phosphorus,Up to and incl 0.05,0.008,0.008,0.010,0.010,0.D15,0.015
Sulfur,Up to and incl 0.030,0.005,0.005,0.005,0.005,0.006,0.006
,0.031 to 0.060 incl,0.008,0.010,0.010,0.010,0.D15,0,015
Silicon,Up to and incl 0.35,0.02,0.03,0.04,0:04,0.05,0.06
,0.36 and over,0.05,0.06,0.06,0.07,0.07,0.08
Nickel,Up to and incl 1.00,0.03,0.03,0.03,0.03,0.03,0.03
,1.01 to 2.00, incl,0.05,0.05,0.05,0.05,0.05,0.05
,2.01 to 5.30, incl,0.07,0.07,0.07,0.07,0.07,0.07
,5.31 to 10.00, incl,0.10,0.10,0.10,0.10,0.10,0.10
,10.01 and over,0.15,0.15,0.15,0.15,0.15,0.15
Chromium,Up to and incl 0.90,0.03,0.04,0.04,0.05,0.05,0.06
,0.91 to 2.10, incl,0.05,0.06,0.06,0.07,0.07,0.08
,2.11 to 10.00, incl,0.10,0.10,0.12,0.14,0.15,0.16
,10.01 to 15.00, incl,0.15,0.15,0.15,0.17,0.17,0.19
,15.01 to 20.00, incl,0.20,0.20,0.20,0.22,0.24,0.24
,20.01 and over,0.25,0.25,0.25,0.27,0.27,0.29
Molybdenum,Up to and incl 0.20,0.01,0.02,0.02,0.02,0.03,0.03
,0.21 to 0.40, incl,0.02,0.03,0.03,0.03,0.04,0.04
,0.41 to 1.15, incl,0.03,0.04,0.05,0.06,0.07,0.08
,1.16 to 5.50, incl,0.05,0.06,0.08,0.10,0.12,0.12
Vanadium,Up to and incl 0.1 0,0.01,0.01,0.01,0.01,0.D1,0.01
,0.11 to 0.25, incl,0.02,0.02,0.02,0.02,0.02,0.02
,0.26 to 0.50, incl,0.03,0.03,0.03,0.03,0.03,0.03
,0.51 to 1.25, incl,0.04,0.04,0.04,0.04,0.04,0.04
Columbium (Niobium),Up to and incl 0.14,0.02,0.02,0.02,0.02,0.03,0.03
,0.15 to 0.50, incl,0.06,0.06,0.06,0.06,0.07,0.08
Titanium,Up to and incl 0.85,0.05,0.05,0.05,0.05,0.05,0.05
Cobalt,Up to and incl 0.25,0.D1,0.D1,0.D1,0.01,0.01,0.01
,0.25 to 5.00, incl,0.07,0.07,0.07,0.08,0.08,0.09
,5.01 to 10.00, incl,0.14,0.14,0.14,0.16,0.16,0.18
Tungsten,Up to and incl 1.00,0.05,0.05,0.05,0.06,0.06,0.07
,1.01 to 4.00, incl,0.09,0.09,0.10,0.12,0.12,0.14
Copper,Up to and incl 1.0,0.03,0.03,0.03,0.03,0.03,0.03
,1.01 to 2.00, incl,0.05,0.05,0.05,0.05,0.05,0.05
,2.01 to 5.00, incl,0.07,0.07,0.07,0.07,0.07,0.07
Aluminum,Up to and incl 0.03,0.01,0.01,0.01,0.D1,0.01,0.01
,Over 0.03 to 0.05, incl,0.01,0.01,0.02,0.02,0.03,0.03
,0.06 to 0.15, incl,0.02,0.02,0.02,0.03,0.03,0.03
,0.16 to 0.50, incl,0.05,0.05,0.06,0.07,0.07,0.08
,0.50 to 2.00, incl,0.10,0.10,0.10,0.12,0.12,0.14

Nitrogen,Up to 0.02 incl,0.005,0.005,0.005,0.005,0.005,0.005
,over 0.02 to 0.19, incl,0.01,0.01,0.01,0.D1,0.Q1,0.01
,Over 0.19 to 0.25, incl,0.02,0.02,0.02,0.02,0.02,0.02
,Over 0.25 to 0.35, incl,0.03,0.03,0.03,0.03,0.03,0.03
,Over 0.35 to 0.45, incl,0.04,0.04,0.04,0.04,0.04,0.04
